,game_id,season,week,home_team,away_team,home_line_open,home_line_close,home_ats_pct,game_total,home_spread_pfr,total_pfr,opening_home_line_tfl,closing_home_line_tfl,opening_home_line_vi,closing_home_line_vi,home_spread_weight_vi,home_ml_weight_vi,neutral_field,divisional_game
0,2006090700.0,2006,1,PIT,MIA,,,,,,,,,,,,,,
1,2006091000.0,2006,1,CAR,ATL,,,,,,,,,,,,,,
2,2006091001.0,2006,1,CLE,NO,,,,,,,,,,,,,,
3,2006091002.0,2006,1,DET,SEA,,,,,,,,,,,,,,
4,2006091003.0,2006,1,HOU,PHI,,,,,,,,,,,,,,
5,2006091004.0,2006,1,KC,CIN,,,,,,,,,,,,,,
6,2006091005.0,2006,1,NE,BUF,,,,,,,,,,,,,,
7,2006091006.0,2006,1,LAR,DEN,,,,,,,,,,,,,,
8,2006091007.0,2006,1,TB,BAL,,,,,,,,,,,,,,
9,2006091008.0,2006,1,TEN,NYJ,,,,,,,,,,,,,,
10,2006091009.0,2006,1,ARI,SF,,,,,,,,,,,,,,
11,2006091010.0,2006,1,GB,CHI,,,,,,,,,,,,,,
12,2006091011.0,2006,1,JAX,DAL,,,,,,,,,,,,,,
13,2006091012.0,2006,1,NYG,IND,,,,,,,,,,,,,,
14,2006091100.0,2006,1,WAS,MIN,,,,,,,,,,,,,,
15,2006091101.0,2006,1,OAK,LAC,,,,,,,,,,,,,,
16,2006091700.0,2006,2,ATL,TB,,,,,,,,,,,,,,
17,2006091701.0,2006,2,BAL,OAK,,,,,,,,,,,,,,
18,2006091702.0,2006,2,CHI,DET,,,,,,,,,,,,,,
19,2006091703.0,2006,2,CIN,CLE,,,,,,,,,,,,,,
20,2006091704.0,2006,2,GB,NO,,,,,,,,,,,,,,
21,2006091705.0,2006,2,IND,HOU,,,,,,,,,,,,,,
22,2006091706.0,2006,2,MIA,BUF,,,,,,,,,,,,,,
23,2006091707.0,2006,2,MIN,CAR,,,,,,,,,,,,,,
24,2006091708.0,2006,2,PHI,NYG,,,,,,,,,,,,,,
25,2006091709.0,2006,2,SF,LAR,,,,,,,,,,,,,,
26,2006091710.0,2006,2,SEA,ARI,,,,,,,,,,,,,,
27,2006091711.0,2006,2,DEN,KC,,,,,,,,,,,,,,
28,2006091712.0,2006,2,NYJ,NE,,,,,,,,,,,,,,
29,2006091713.0,2006,2,LAC,TEN,,,,,,,,,,,,,,
30,2006091714.0,2006,2,DAL,WAS,,,,,,,,,,,,,,
31,2006091800.0,2006,2,JAX,PIT,,,,,,,,,,,,,,
32,2006092400.0,2006,3,BUF,NYJ,,,,,,,,,,,,,,
33,2006092401.0,2006,3,DET,GB,,,,,,,,,,,,,,
34,2006092402.0,2006,3,HOU,WAS,,,,,,,,,,,,,,
35,2006092403.0,2006,3,IND,JAX,,,,,,,,,,,,,,
36,2006092404.0,2006,3,MIA,TEN,,,,,,,,,,,,,,
37,2006092405.0,2006,3,MIN,CHI,,,,,,,,,,,,,,
38,2006092406.0,2006,3,PIT,CIN,,,,,,,,,,,,,,
39,2006092407.0,2006,3,TB,CAR,,,,,,,,,,,,,,
40,2006092408.0,2006,3,CLE,BAL,,,,,,,,,,,,,,
41,2006092409.0,2006,3,ARI,LAR,,,,,,,,,,,,,,
42,2006092410.0,2006,3,SF,PHI,,,,,,,,,,,,,,
43,2006092411.0,2006,3,SEA,NYG,,,,,,,,,,,,,,
44,2006092412.0,2006,3,NE,DEN,,,,,,,,,,,,,,
45,2006092500.0,2006,3,NO,ATL,,,,,,,,,,,,,,
46,2006100100.0,2006,4,ATL,ARI,,,,,,,,,,,,,,
47,2006100101.0,2006,4,BAL,LAC,,,,,,,,,,,,,,
48,2006100102.0,2006,4,BUF,MIN,,,,,,,,,,,,,,
49,2006100103.0,2006,4,CAR,NO,,,,,,,,,,,,,,
50,2006100104.0,2006,4,HOU,MIA,,,,,,,,,,,,,,
51,2006100105.0,2006,4,KC,SF,,,,,,,,,,,,,,
52,2006100106.0,2006,4,NYJ,IND,,,,,,,,,,,,,,
53,2006100107.0,2006,4,TEN,DAL,,,,,,,,,,,,,,
54,2006100108.0,2006,4,LAR,DET,,,,,,,,,,,,,,
55,2006100109.0,2006,4,CIN,NE,,,,,,,,,,,,,,
56,2006100110.0,2006,4,OAK,CLE,,,,,,,,,,,,,,
57,2006100111.0,2006,4,WAS,JAX,,,,,,,,,,,,,,
58,2006100112.0,2006,4,CHI,SEA,,,,,,,,,,,,,,
59,2006100200.0,2006,4,PHI,GB,,,,,,,,,,,,,,
60,2006100800.0,2006,5,CAR,CLE,,,,,,,,,,,,,,
61,2006100801.0,2006,5,CHI,BUF,,,,,,,,,,,,,,
62,2006100802.0,2006,5,GB,LAR,,,,,,,,,,,,,,
63,2006100803.0,2006,5,IND,TEN,,,,,,,,,,,,,,
64,2006100804.0,2006,5,MIN,DET,,,,,,,,,,,,,,
65,2006100805.0,2006,5,NE,MIA,,,,,,,,,,,,,,
66,2006100806.0,2006,5,NO,TB,,,,,,,,,,,,,,
67,2006100807.0,2006,5,NYG,WAS,,,,,,,,,,,,,,
68,2006100808.0,2006,5,ARI,KC,,,,,,,,,,,,,,
69,2006100809.0,2006,5,JAX,NYJ,,,,,,,,,,,,,,
70,2006100810.0,2006,5,SF,OAK,,,,,,,,,,,,,,
71,2006100811.0,2006,5,PHI,DAL,,,,,,,,,,,,,,
72,2006100812.0,2006,5,LAC,PIT,,,,,,,,,,,,,,
73,2006100900.0,2006,5,DEN,BAL,,,,,,,,,,,,,,
74,2006101500.0,2006,6,ATL,NYG,,,,,,,,,,,,,,
75,2006101501.0,2006,6,BAL,CAR,,,,,,,,,,,,,,
76,2006101502.0,2006,6,DAL,HOU,,,,,,,,,,,,,,
77,2006101503.0,2006,6,DET,BUF,,,,,,,,,,,,,,
78,2006101504.0,2006,6,NO,PHI,,,,,,,,,,,,,,
79,2006101505.0,2006,6,LAR,SEA,,,,,,,,,,,,,,
80,2006101506.0,2006,6,TB,CIN,,,,,,,,,,,,,,
81,2006101507.0,2006,6,WAS,TEN,,,,,,,,,,,,,,
82,2006101508.0,2006,6,NYJ,MIA,,,,,,,,,,,,,,
83,2006101509.0,2006,6,PIT,KC,,,,,,,,,,,,,,
84,2006101510.0,2006,6,SF,LAC,,,,,,,,,,,,,,
85,2006101511.0,2006,6,DEN,OAK,,,,,,,,,,,,,,
86,2006101600.0,2006,6,ARI,CHI,,,,,,,,,,,,,,
87,2006102200.0,2006,7,ATL,PIT,,,,,,,,,,,,,,
88,2006102201.0,2006,7,BUF,NE,,,,,,,,,,,,,,
89,2006102202.0,2006,7,CIN,CAR,,,,,,,,,,,,,,
90,2006102203.0,2006,7,HOU,JAX,,,,,,,,,,,,,,
91,2006102204.0,2006,7,KC,LAC,,,,,,,,,,,,,,
92,2006102205.0,2006,7,MIA,GB,,,,,,,,,,,,,,
93,2006102206.0,2006,7,NYJ,DET,,,,,,,,,,,,,,
94,2006102207.0,2006,7,TB,PHI,,,,,,,,,,,,,,
95,2006102208.0,2006,7,CLE,DEN,,,,,,,,,,,,,,
96,2006102209.0,2006,7,IND,WAS,,,,,,,,,,,,,,
97,2006102210.0,2006,7,OAK,ARI,,,,,,,,,,,,,,
